input_address,candidate_address,score,x,y,HouseNumber,StreetName,StreetType,UnitNumber,Locality,State,Postcode,Valuation,SystemValuation,Ref_ID,Addr_type
"3B ABBARON, Aberfoyle Park, SA","3D ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",68.24,138.5974137142855,-35.06098384779384,3D,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458686600,998199,664855,Address
"3C ABBARON, Aberfoyle Park, SA","3C ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59720586449146,-35.06109272149549,3C,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458686408,998198,1238480,Address
"3D ABBARON, Aberfoyle Park, SA","3D ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5974137142855,-35.06098384779384,3D,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458686600,998199,664855,Address
"3D ABBARON, Aberfoyle Park, SA","3B ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",68.24,138.59725145347946,-35.06136550560471,3B,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458686141,851324,574911,Address
"4 ABBARON, Aberfoyle Park, SA","UNIT 4 4 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5976587550961,-35.06126173067146,4,ABBARON,COURT,4,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458687056,1193104,1056163,Address
"4 ABBARON, Aberfoyle Park, SA","UNIT 3 4 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59770344430146,-35.06109512091591,4,ABBARON,COURT,3,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458687152,1193103,1057163,Address
"4 ABBARON, Aberfoyle Park, SA","UNIT 2 4 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59770734335964,-35.060981298409644,4,ABBARON,COURT,2,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458687259,1193102,1057167,Address
"4 ABBARON, Aberfoyle Park, SA","UNIT 1 4 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5977659791962,-35.06086522644673,4,ABBARON,COURT,1,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458687355,1193101,1055955,Address
"5 ABBARON, Aberfoyle Park, SA","5 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59783826173643,-35.061621043879654,5,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458688112,918454,580397,Address
"6 ABBARON, Aberfoyle Park, SA","6 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59756397798944,-35.061795751679135,6,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458689000,647624,1204559,Address
"7 ABBARON, Aberfoyle Park, SA","7 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59731503812066,-35.06179965073732,7,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458690001,647623,421140,Address
"8 ABBARON, Aberfoyle Park, SA","8 ABBARON COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59643535060843,-35.06184553965289,8,ABBARON,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458691004,647622,421139,Address
"1 ABERFOYLE, Aberfoyle Park, SA","1 ABERFOYLE ROAD, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.6091398318516,-35.06269658408382,1,ABERFOYLE,ROAD,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1456615403,712311,457529,Address
"1 ABRAXAS, Aberfoyle Park, SA","1 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5868352695,-35.07985348984755,1,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459193007,242155,139789,Address
"10 ABRAXAS, Aberfoyle Park, SA","10 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58595018329183,-35.079492677001596,10,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459236003,242185,137497,Address
"11 ABRAXAS, Aberfoyle Park, SA","11 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58552233663784,-35.07993027130106,11,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459206007,242168,137548,Address
"12 ABRAXAS, Aberfoyle Park, SA","12 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58575957933206,-35.07949942537153,12,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459235000,242184,137496,Address
"13 ABRAXAS, Aberfoyle Park, SA","13 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58552473605826,-35.08011607641998,13,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,145920700*,242169,137549,Address
"14 ABRAXAS, Aberfoyle Park, SA","14 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58556192707482,-35.07950947294455,14,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459234008,242183,137495,Address
"15 ABRAXAS, Aberfoyle Park, SA","15 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5855163380868,-35.08025299334781,15,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459208002,242170,137550,Address
"16 ABRAXAS, Aberfoyle Park, SA","16 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58533713137402,-35.079516221314485,16,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459233005,242182,137494,Address
"17 ABRAXAS, Aberfoyle Park, SA","17 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58554003236347,-35.080394859080265,17,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459209005,242171,137551,Address
"18 ABRAXAS, Aberfoyle Park, SA","18 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58518386839455,-35.07959690182618,18,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459232002,242181,137557,Address
"19 ABRAXAS, Aberfoyle Park, SA","19 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58540281550808,-35.080604658403416,19,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459210006,242172,137552,Address
"2 ABRAXAS, Aberfoyle Park, SA","2 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5867908802222,-35.07948067989948,2,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459240002,242189,141045,Address
"21 ABRAXAS, Aberfoyle Park, SA","21 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58516197368323,-35.08066134471088,21,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459211009,242173,137553,Address
"22 ABRAXAS, Aberfoyle Park, SA","22 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58504980077848,-35.07994496775114,22,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459216002,242178,1187790,Address
"24 ABRAXAS, Aberfoyle Park, SA","24 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5849856162822,-35.080100330223466,24,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,145921500*,242177,137556,Address
"26 ABRAXAS, Aberfoyle Park, SA","26 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5849278802283,-35.0802600416453,26,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459214007,242176,137555,Address
"28 ABRAXAS, Aberfoyle Park, SA","28 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58486684497132,-35.080425601654426,28,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459213004,242175,1187789,Address
"3 ABRAXAS, Aberfoyle Park, SA","3 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5866074745237,-35.07986488709456,3,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,145919400*,242156,139790,Address
"30 ABRAXAS, Aberfoyle Park, SA","30 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58491798261906,-35.08062925246274,30,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459212001,242174,137554,Address
"4 ABRAXAS, Aberfoyle Park, SA","4 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5865515380351,-35.07947753066018,4,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459239001,242188,141044,Address
"6 ABRAXAS, Aberfoyle Park, SA","6 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58633619005224,-35.079474831312204,6,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459238009,242187,141043,Address
"7 ABRAXAS, Aberfoyle Park, SA","7 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.58597942622822,-35.079899828654455,7,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459204001,242166,137488,Address
"8 ABRAXAS, Aberfoyle Park, SA","8 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5861382378674,-35.07948577866788,8,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459237006,242186,141042,Address
"9 ABRAXAS, Aberfoyle Park, SA","9 ABRAXAS COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5857555303101,-35.079914675068316,9,ABRAXAS,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1459205004,242167,137547,Address
"10 ACACIA, Aberfoyle Park, SA","10 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59992530761224,-35.06661933654624,10,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457329003,240875,144427,Address
"11 ACACIA, Aberfoyle Park, SA","11 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59990806177794,-35.06641268646239,11,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457330004,240874,144426,Address
"12 ACACIA, Aberfoyle Park, SA","12 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60002653316127,-35.06625687409874,12,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457331007,240873,144425,Address
"13 ACACIA, Aberfoyle Park, SA","13 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.6001952424097,-35.066166146014034,13,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457331250,1069450,711044,Address
"13A ACACIA, Aberfoyle Park, SA","13A ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.6003723496296,-35.06612400619287,13A,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457331509,1069451,711045,Address
"13A ACACIA, Aberfoyle Park, SA","13 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",68.24,138.6001952424097,-35.066166146014034,13,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457331250,1069450,711044,Address
"14 ACACIA, Aberfoyle Park, SA","14 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60058784757626,-35.06609476325647,14,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,145733200*,240872,144424,Address
"15 ACACIA, Aberfoyle Park, SA","15 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60081234334947,-35.06604047636943,15,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457333002,240871,143385,Address
"16 ACACIA, Aberfoyle Park, SA","16 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.6010222926364,-35.065988588902805,16,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457334005,240870,143384,Address
"17 ACACIA, Aberfoyle Park, SA","17 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60123329166976,-35.06593925082038,17,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457335008,240869,143383,Address
"2 ACACIA, Aberfoyle Park, SA","2 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60139645225846,-35.066329006675176,2,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457316253,1060644,1228554,Address
"3 ACACIA, Aberfoyle Park, SA","3 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.6008654305263,-35.06650626385885,3,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457322004,240882,1185208,Address
"4 ACACIA, Aberfoyle Park, SA","4 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60062953750608,-35.066538356106996,4,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457323007,240881,144432,Address
"5 ACACIA, Aberfoyle Park, SA","5 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60040444187774,-35.06654000570853,5,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,145732400*,240880,144431,Address
"6 ACACIA, Aberfoyle Park, SA","6 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.6005404590229,-35.0668087407958,6,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457325002,240879,144430,Address
"7 ACACIA, Aberfoyle Park, SA","7 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.6004186884365,-35.0669864478708,7,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457326005,240878,144429,Address
"8 ACACIA, Aberfoyle Park, SA","8 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60005067732928,-35.06700519334285,8,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457327008,240877,144428,Address
"9 ACACIA, Aberfoyle Park, SA","9 ACACIA COURT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59990536242998,-35.06685193036339,9,ACACIA,COURT,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457328000,240876,1185207,Address
"10 ACORN, Aberfoyle Park, SA","10 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5985759335524,-35.06431859228909,10,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,145821200*,241045,138669,Address
"12 ACORN, Aberfoyle Park, SA","12 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.598559437537,-35.06413218731505,12,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458211007,241044,138668,Address
"13 ACORN, Aberfoyle Park, SA","13 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59802871573243,-35.06402166401187,13,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458219009,241017,1185185,Address
"14 ACORN, Aberfoyle Park, SA","14 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59854249163027,-35.06394308299305,14,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458210004,241043,138667,Address
"16 ACORN, Aberfoyle Park, SA","16 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5985613870661,-35.06375262899705,16,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458209003,241042,138666,Address
"18 ACORN, Aberfoyle Park, SA","18 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59866516199935,-35.063583769784856,18,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458208000,241041,138665,Address
"20 ACORN, Aberfoyle Park, SA","20 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59877538537498,-35.063419109558396,20,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458207008,241066,140927,Address
"3 ACORN, Aberfoyle Park, SA","3 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59813773939783,-35.065282259516074,3,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458216000,241049,138673,Address
"4 ACORN, Aberfoyle Park, SA","4 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5985912298576,-35.06518163382213,4,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458215008,241048,138672,Address
"5 ACORN, Aberfoyle Park, SA","5 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59812424265797,-35.06510230298443,5,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458217003,241050,138674,Address
"6 ACORN, Aberfoyle Park, SA","6 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5985505896742,-35.064744789341546,6,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458214005,241047,138671,Address
"7 ACORN, Aberfoyle Park, SA","7 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59811059595432,-35.06492249641655,7,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458218006,241051,138675,Address
"8 ACORN, Aberfoyle Park, SA","8 ACORN STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.5985894302923,-35.064503047734036,8,ACORN,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1458213002,241046,138670,Address
"1 ALCATRAZ, Aberfoyle Park, SA","1 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59964922429992,-35.071968244521976,1,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457503008,241652,139750,Address
"10 ALCATRAZ, Aberfoyle Park, SA","10 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60049711949154,-35.07228766736566,10,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457470007,241668,140914,Address
"11 ALCATRAZ, Aberfoyle Park, SA","11 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60175861477842,-35.071809132955245,11,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457460001,241716,141111,Address
"12 ALCATRAZ, Aberfoyle Park, SA","12 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60072221511987,-35.07227492044466,12,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457469006,241667,140913,Address
"13 ALCATRAZ, Aberfoyle Park, SA","13 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60201295334315,-35.07181273208588,13,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457461004,241717,141112,Address
"14 ALCATRAZ, Aberfoyle Park, SA","14 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.6009513597702,-35.07226232348745,14,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457468003,241723,141040,Address
"15 ALCATRAZ, Aberfoyle Park, SA","15 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60226309292213,-35.071792486976065,15,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457462007,693021,439937,Address
"16 ALCATRAZ, Aberfoyle Park, SA","16 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60118335373224,-35.07224942660268,16,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457467000,241722,141039,Address
"18 ALCATRAZ, Aberfoyle Park, SA","18 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60141504776675,-35.072236679681694,18,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457466008,241721,141038,Address
"2 ALCATRAZ, Aberfoyle Park, SA","2 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.59959718686952,-35.07233985475984,2,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457474008,241672,137525,Address
"20 ALCATRAZ, Aberfoyle Park, SA","20 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.6016425428155,-35.07222468257958,20,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457465005,241720,141037,Address
"22 ALCATRAZ, Aberfoyle Park, SA","22 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60186253967544,-35.07221103587593,22,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,1457464002,241719,141173,Address
"24 ALCATRAZ, Aberfoyle Park, SA","24 ALCATRAZ STREET, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",89.24,138.60208343631803,-35.072200538411586,24,ALCATRAZ,STREET,,ABERFOYLE PARK,SOUTH AUSTRALIA,5159,145746300*,241718,141113,Address
